	N1_1	N2_1	N3_1	N4_1	N5_1	N7_1	N9_1	N11_1	N13_1	N14_1	N15_1	W1_1	W3_1	W5_1	W6_1	W7_1	W10_1	W11_1	W12_1	W14_1
New.ReferenceOTU51225	0	0	0	33	0	54	51	40	33	26	19	2	6	1	5	1	2	1	1	1
119723	0	0	1	8	1	82	29	27	21	4	19	5	11	13	17	5	11	8	7	6
823671	1	0	0	8	3	14	28	22	16	59	21	25	5	11	1	21	1	9	15	15
334067	2	7	5	10	2	30	13	8	25	4	17	27	20	7	31	4	20	10	20	12
4388776	0	0	0	1	0	8	21	64	19	43	21	10	3	3	4	5	0	2	28	41
1673321	0	1	0	16	0	19	88	19	12	18	20	2	0	8	1	0	7	0	32	30
1130824	38	2	2	2	0	1	2	1	2	4	1	3	110	20	3	6	13	3	5	55
699206	5	14	4	7	3	17	10	5	33	9	16	29	33	10	21	2	22	4	16	12
New.ReferenceOTU25564	7	0	74	9	35	2	1	7	3	8	15	6	4	4	34	9	13	12	19	10
1116398	0	62	1	6	0	0	6	2	4	2	2	18	6	4	16	15	12	41	3	72
586558	1	0	2	20	6	15	21	24	12	25	36	0	0	0	2	6	1	8	21	71
4333746	2	0	6	2	14	4	2	2	2	1	0	4	4	61	8	51	4	24	33	47
New.ReferenceOTU25353	20	5	44	15	42	10	6	7	8	0	9	13	3	8	33	11	3	13	11	9
4426763	88	60	8	11	3	11	14	2	11	4	0	16	11	9	3	1	6	6	2	0
New.ReferenceOTU35192	9	10	9	0	12	0	0	0	24	4	9	1	1	11	9	1	14	16	61	73
3480259	0	4	1	3	6	1	1	2	2	3	3	0	0	53	22	94	1	59	2	4
161616	3	23	3	4	2	16	7	9	16	5	14	19	4	2	22	1	47	9	34	17
628299	1	5	0	7	4	1	3	4	3	13	2	0	0	3	51	91	0	2	47	13
New.ReferenceOTU58571	0	0	0	13	2	9	27	19	6	18	17	3	7	15	0	62	0	9	3	39
290375	106	0	60	6	40	1	0	2	0	0	1	1	0	1	18	6	0	2	2	1
5784	0	0	0	5	0	9	6	5	3	6	7	0	3	15	15	110	5	15	22	21
New.ReferenceOTU4006	0	75	1	0	1	1	0	2	51	3	15	12	24	19	7	8	20	4	0	2
New.ReferenceOTU27747	0	1	8	10	5	6	10	6	6	0	7	8	79	50	1	4	18	14	5	3
4328104	15	15	7	5	1	2	5	2	7	0	8	2	41	5	53	13	16	4	9	30
4323373	0	3	0	2	1	1	0	1	0	13	3	0	1	3	81	87	0	2	31	11
2770481	1	0	1	4	0	11	15	18	29	22	24	4	5	8	54	5	3	9	16	8
1855596	3	6	3	4	3	12	7	8	38	6	28	6	4	7	10	2	11	11	32	35
New.ReferenceOTU54233	68	4	44	2	94	1	2	0	1	0	0	0	0	1	12	3	0	0	3	1
144640	1	12	2	12	2	22	29	10	12	6	6	19	34	8	11	1	20	9	11	8
141709	3	12	3	4	1	20	9	2	10	4	17	15	25	5	17	6	52	15	13	2
New.ReferenceOTU3971	3	0	8	9	8	9	11	8	12	6	10	4	5	12	18	11	14	8	51	27
352838	7	20	17	10	1	5	3	3	3	9	17	6	22	15	15	3	16	15	33	10
New.ReferenceOTU26857	22	41	16	55	15	9	4	6	8	2	0	6	1	2	8	2	0	2	12	16
161421	0	0	0	31	0	13	17	11	3	16	1	0	0	1	3	42	5	3	30	51
New.ReferenceOTU6161	28	15	23	5	32	10	5	5	4	0	5	1	3	3	56	0	15	3	10	4
New.ReferenceOTU17838	0	0	0	35	0	23	29	21	6	79	10	1	0	2	1	13	0	0	3	4
New.ReferenceOTU27145	6	1	10	11	50	2	0	0	0	0	1	6	1	0	49	77	6	3	2	0
267759	4	2	14	10	36	3	3	4	3	0	2	2	4	57	7	6	3	10	23	31
New.ReferenceOTU52886	0	0	1	24	4	17	4	11	2	15	12	0	0	0	8	39	1	2	21	61
625652	0	1	1	10	2	12	6	10	4	27	20	0	1	6	6	7	0	3	78	28
1124268	3	5	3	14	1	24	16	10	19	1	11	28	17	10	8	0	20	16	9	6
New.ReferenceOTU31049	0	0	1	16	2	8	17	31	11	11	19	5	3	4	6	2	3	7	65	10
New.ReferenceOTU41960	14	5	86	1	18	0	0	0	3	4	11	1	1	0	19	6	3	4	29	16
New.ReferenceOTU13562	7	9	23	4	11	2	2	11	25	6	24	1	3	3	19	1	10	7	25	27
New.ReferenceOTU3578	26	0	104	11	38	1	1	0	0	1	4	2	2	0	11	11	1	1	2	4
